id,GameTitle,ReleaseDate,thumb,Platform
17,Devil May Cry 4,2/5/08,boxart/original/front/17-2.jpg,PS3
21,Final Fantasy XIII,3/9/10,boxart/original/front/21-1.jpg,PS3
31,Heavenly Sword,9/12/07,boxart/original/front/31-1.jpg,PS3
48582,XBLAZE Lost: Memories,8/11/15,boxart/original/front/48582-1.jpg,PS3
36,Killzone 2,2/27/09,boxart/original/front/36-1.jpg,PS3
37,Lair,8/30/07,boxart/original/front/37-1.jpg,PS3
45,Metal Gear Solid 4: Guns of the Patriots,6/12/08,boxart/original/front/45-1.jpg,PS3
46,Mirror's Edge,1/13/09,boxart/original/front/46-1.jpg,PS3
70,Uncharted: Drake's Fortune,11/19/07,boxart/original/front/70-1.jpg,PS3
94,MotorStorm: Pacific Rift,10/28/08,boxart/original/front/94-1.jpg,PS3
97,Resistance: Fall of Man,11/17/06,boxart/original/front/97-1.jpg,PS3
98,SOCOM: U.S. Navy SEALs Confrontation,10/14/08,boxart/original/front/98-1.jpg,PS3
100,Spider-Man 3,5/4/07,boxart/original/front/100-1.jpg,PS3
104,The Eye of Judgment,10/24/07,boxart/original/front/104-1.jpg,PS3
201,Uncharted 2: Among Thieves,10/13/09,boxart/original/front/201-1.jpg,PS3
319,Heavy Rain,2/23/10,boxart/original/front/319-1.jpg,PS3
552,Ninja Gaiden Sigma,7/3/07,boxart/original/front/552-1.jpg,PS3
41326,SpongeBob SquarePants: Plankton's Robotic Revenge,10/11/13,boxart/original/front/41326-1.jpg,PS3
641,Bayonetta,1/5/10,boxart/original/front/641-1.jpg,PS3
650,Final Fantasy XIV,9/21/10,boxart/original/front/650-1.jpg,PS3
23885,The Elder Scrolls V: Skyrim - Dawnguard,2/26/13,boxart/original/front/23885-1.jpg,PS3
809,LittleBigPlanet,10/27/08,boxart/original/front/809-1.jpg,PS3
810,Gran Turismo 5,11/24/10,boxart/original/front/810-1.jpg,PS3
6639,Unreal Tournament 3,12/10/07,boxart/original/front/6639-1.jpg,PS3
815,Infamous,5/26/09,boxart/original/front/815-1.jpg,PS3
816,The Saboteur,12/9/09,boxart/original/front/816-1.jpg,PS3
818,Dynasty Warriors: Gundam,8/28/07,boxart/original/front/818-1.jpg,PS3
833,Siren: Blood Curse,7/24/08,boxart/original/front/833-1.jpg,PS3
843,God of War III,3/16/10,boxart/original/front/843-1.jpg,PS3
848,Tekken 6,10/27/09,boxart/original/front/848-1.jpg,PS3
854,Demon's Souls,10/6/09,boxart/original/front/854-1.jpg,PS3
862,Castlevania: Lords of Shadow,10/5/10,boxart/original/front/862-2.png,PS3
876,Mortal Kombat vs. DC Universe,11/16/08,boxart/original/front/876-1.jpg,PS3
886,Resonance of Fate,3/16/10,boxart/original/front/886-1.jpg,PS3
913,Killzone 3,2/22/11,boxart/original/front/913-1.jpg,PS3
924,Sonic Unleashed,11/18/08,boxart/original/front/924-1.jpg,PS3
930,MotorStorm: Apocalypse,5/3/11,boxart/original/front/930-1.jpg,PS3
937,Resistance 3,9/6/11,boxart/original/front/937-1.jpg,PS3
938,Ratchet & Clank: All 4 One,10/18/11,boxart/original/front/938-1.jpg,PS3
992,Vanquish,10/19/10,boxart/original/front/992-1.jpg,PS3
2472,Final Fantasy XIII-2,1/31/12,boxart/original/front/2472-1.jpg,PS3
42306,White Knight Chronicles,2/2/10,boxart/original/front/42306-1.jpg,PS3
2092,MAG,1/26/10,boxart/original/front/2092-1.jpg,PS3
41819,Germany's Next Top Model,3/18/11,boxart/original/front/41819-1.jpg,PS3
2256,Alpha Protocol,6/1/10,boxart/original/front/2256-1.jpg,PS3
2262,Blade & Soul,1/1/14,boxart/original/front/2262-1.jpg,PS3
2264,Uncharted 3: Drake's Deception,11/1/11,boxart/original/front/2264-1.jpg,PS3
17085,Fast & Furious: Showdown,5/21/13,boxart/original/front/17085-1.jpg,PS3
17088,Worms Collection,5/21/13,boxart/original/front/17088-1.jpg,PS3
2304,Super Street Fighter IV,4/27/10,boxart/original/front/2304-1.jpg,PS3
2428,Marvel vs. Capcom 3: Fate of Two Worlds,2/15/11,boxart/original/front/2428-1.jpg,PS3
2513,Bionic Commando: Rearmed,8/14/08,boxart/original/front/2513-1.jpg,PS3
2514,Blade Kitten,9/22/10,boxart/original/front/2514-1.jpg,PS3
15975,Tomb Raider: The Final Hours Edition,3/5/13,boxart/original/front/15975-1.jpg,PS3
3138,Monsters vs. Aliens,3/24/09,boxart/original/front/3138-1.jpg,PS3
33450,Metal Gear Solid: Peace Walker HD Edition,11/15/01,boxart/original/front/33450-1.png,PS3
34852,XCOM: Enemy Within,11/12/13,boxart/original/front/34852-1.jpg,PS3
5925,Armored Core: For Answer,9/16/08,boxart/original/front/5925-1.jpg,PS3
3920,Yakuza: Dead Souls,3/13/12,boxart/original/front/3920-1.jpg,PS3
3922,Yakuza 3,3/9/10,boxart/original/front/3922-1.jpg,PS3
3923,Yakuza 4,3/15/11,boxart/original/front/3923-1.jpg,PS3
8329,Resistance 2,10/4/08,boxart/original/front/8329-1.jpg,PS3
16444,Scene It? Bright Lights! Big Screen!,11/17/09,boxart/original/front/16444-1.jpg,PS3
4819,Dragon's Dogma,5/22/12,boxart/original/front/4819-1.jpg,PS3
5927,Assassin's Creed,11/13/07,boxart/original/front/5927-1.jpg,PS3
